"geonameid","name","asciiname","alternatenames","latitude","longitude","feature_class","feature_code","country_code","cc2","admin1_code","admin2_code","admin3_code","admin4_code","population","elevation","dem","timezone","modification_date"
2471488,"Douar Mohammed Bel Hadj Belkassem","Douar Mohammed Bel Hadj Belkassem","Dawwar Muhammad Bu al Hajj Bu al Qasim,Dawwār Muḩammad Bū al Ḩājj Bū al Qāsim,Douar Mohammed Bel Hadj Belkassem,Douar Mohammed Del Hajd Belkassem",35.8362,8.37179,"P","PPL","TN","",14,2356,235656,"",0,NULL,530,"Africa/Tunis","2018-08-05"
2471489,"Douar Mraf","Douar Mraf","Dawwar Mraf,Dawwār Mraf,Douar Mraf",37.1017,9.23417,"P","PPL","TN","TN",18,1754,175458,"",0,NULL,157,"Africa/Tunis","2018-08-05"
2471490,"Douar Messeftine","Douar Messeftine","Dawwar Messeftine,Dawwār Messeftine,Douar Messeftine",37.0782,9.74756,"P","PPL","TN","",18,1756,175655,"",0,NULL,219,"Africa/Tunis","2018-08-05"
2471491,"Douar Mennzel Ameur","Douar Mennzel Ameur","Dawwar Manzil `Amir,Dawwār Manzil ‘Āmir,Douar Mennzel Ameur,Douar Menzel Ameur",36.9081,10.005,"P","PPL","TN","TN",18,"","","",0,NULL,14,"Africa/Tunis","2012-01-18"
2471492,"Douar Lezdine","Douar Lezdine","Dawwar Lezdine,Dawwār Lezdine,Douar Lezdine",36.9461,10.0075,"P","PPL","TN","TN",18,1760,176058,"",0,NULL,10,"Africa/Tunis","2018-08-05"
2471493,"Douar Jaouel","Douar Jaouel","Dawwar Jawwal,Dawwār Jawwāl,Douar Jaouel",35.99,9.12948,"P","PPL","TN","",14,2361,236157,"",0,NULL,595,"Africa/Tunis","2018-08-05"
2471494,"Douar Jafeur","Douar Jafeur","Dawwar Ja`far,Dawwār Ja‘far,Douar Djafeur,Douar Jafeur",37.2338,9.74029,"P","PPL","TN","",18,1753,175360,"",0,NULL,7,"Africa/Tunis","2018-08-05"
2471495,"Douar Henna","Douar Henna","Dawwar Henna,Dawwār Henna,Douar Henna",36.8667,9.98333,"P","PPL","TN","",39,1456,145652,"",0,NULL,16,"Africa/Tunis","2018-08-05"
2471497,"Douar Hammada","Douar Hammada","Dawwar Hammadah,Dawwār Ḩammādah,Douar Hammada",37.3167,9.66667,"P","PPL","TN","",18,1753,175354,"",0,NULL,131,"Africa/Tunis","2018-08-05"
2471498,"Douar Guerfdjana","Douar Guerfdjana","Dawwar Guerfdjana,Dawwār Guerfdjana,Douar Guerfdjana",36.9333,10.0167,"P","PPL","TN","",38,1255,125555,"",0,NULL,9,"Africa/Tunis","2018-08-05"
2471499,"Douar Goungla","Douar Goungla","Dawwar Goungla,Dawwār Goungla,Douar Goungla",37.1656,9.76556,"P","PPL","TN","TN",18,1759,175951,"",0,NULL,5,"Africa/Tunis","2018-08-05"
2471500,"Douar Ghar Ouïnkel","Douar Ghar Ouinkel","Dawwar Ghar Ouinkel,Dawwar Ghār Ouïnkel,Douar Ghar Ouinkel,Douar Ghar Ouïnkel,Douar Rarounkel,Douar Rhar Ouinkel,Douar Rhar Ouïnkel",37.2621,9.63125,"P","PPL","TN","",18,1753,175354,"",0,NULL,102,"Africa/Tunis","2018-08-05"
2471501,"Douar Farouja","Douar Farouja","Dawwar Farrujah,Dawwār Farrūjah,Douar Faroudja,Douar Farouja",37.2059,9.64347,"P","PPL","TN","",18,1753,175355,"",0,NULL,34,"Africa/Tunis","2018-08-05"
2471502,"Douar Dar Ramel","Douar Dar Ramel","Dar Ramel,Dawwar Dar Ramil,Dawwār Dār Rāmil,Douar Dar Ramel",37.2929,9.6145,"P","PPL","TN","",18,1753,175354,"",0,NULL,157,"Africa/Tunis","2018-08-05"
2471503,"Douar Cherfech","Douar Cherfech","Dawwar Cherfech,Dawwār Cherfech,Douar Cherfech",36.9564,10.0458,"P","PPL","TN","TN",36,"","","",0,NULL,6,"Africa/Tunis","2012-01-18"
2471504,"Douar Bou Sem","Douar Bou Sem","Dar Bou Sain,Dawwar Bu Sem,Dawwār Bū Sem,Douar Bou Sem",36.5167,10.6,"P","PPL","TN","",19,1565,156552,"",0,NULL,110,"Africa/Tunis","2018-08-05"
2471505,"Douar Bou Nefil","Douar Bou Nefil","Dawwar Bu Nafil,Dawwār Bū Nafīl,Douar Bou Nefil",35.9636,9.19361,"P","PPL","TN","TN",22,2451,245157,"",0,NULL,694,"Africa/Tunis","2018-08-05"
2471506,"Douar Bel Aïd","Douar Bel Aid","Dawwar Bu al `A'id,Dawwār Bū al ‘Ā’id,Douar Bel Aid,Douar Bel Aïd",37.0408,9.70528,"P","PPL","TN","",18,1756,175655,"",0,NULL,10,"Africa/Tunis","2018-08-05"
2471507,"Douar Bir es Soula","Douar Bir es Soula","Dar Bir Soula,Dawwar Bi'r as Sulah,Dawwār Bi’r aş Şūlah,Douar Bir es Soula",37.0698,9.79066,"P","PPL","TN","",18,1758,175853,"",0,NULL,133,"Africa/Tunis","2018-08-05"
2471508,"Douar Ben Mosbah","Douar Ben Mosbah","Dawwar Bin Misbah,Dawwār Bin Mişbāḩ,Douar Ben Mosbah",37.2866,9.68497,"P","PPL","TN","",18,1753,175354,"",0,NULL,52,"Africa/Tunis","2018-08-05"
